Host_Id,Name,Neighbourhood ,Property_Type,Review_Scores_Rating_bin,Room_Type,Zipcode,Beds,Number_of_Records,Number_Of_Reviews,Price
5162530,1 Bedroom in Prime Williamsburg,Brooklyn,Apartment,0,Entire home/apt,11249,1,1,0,145
33134899,"Sunny, Private room in Bushwick",Brooklyn,Apartment,0,Private room,11206,1,1,1,37
39608626,Sunny Room in Harlem,Manhattan,Apartment,0,Private room,10032,1,1,1,28
500,Gorgeous 1 BR with Private Balcony,Manhattan,Apartment,0,Entire home/apt,10024,3,1,0,199
500,Trendy Times Square Loft,Manhattan,Apartment,95,Private room,10036,3,1,39,549
1039,Big Greenpoint 1BD w/ Skyline View,Brooklyn,Apartment,100,Entire home/apt,11222,1,1,4,149
1783,Amazing Also,Manhattan,Apartment,100,Entire home/apt,10004,1,1,9,250
2078,"Colorful, quiet, & near the subway!",Brooklyn,Apartment,90,Private room,11201,1,1,80,90
2339,East Village Cocoon: 2 Bedroom Flat,Manhattan,Apartment,90,Entire home/apt,10009,2,1,95,270
2339,Lovely 2 Bedroom East Village Nest,Manhattan,Apartment,95,Entire home/apt,10009,2,1,23,290
2571,THE PUTNAM,Brooklyn,Apartment,95,Entire home/apt,11221,2,1,14,170
2758,Stay at Chez Chic budget room #1,Manhattan,Apartment,90,Private room,10026,2,1,120,59
2758,Stay at Chez Chic budget Room #2,Manhattan,Apartment,90,Private room,10026,2,1,81,49
2787,Renovated and spacious townhome,Brooklyn,House,0,Private room,11223,1,1,0,68
2845,Midtown Castle,Manhattan,Apartment,95,Entire home/apt,10018,1,1,17,285
2881,Newly renovated historic brownstone,Brooklyn,Apartment,95,Private room,11216,1,1,32,75
2965,Large Bedroom in 3-bedroom Apt.,Manhattan,Apartment,95,Private room,10025,1,1,52,145
3211,"Elegant NYC, 10mins to Manhattan!",Queens,Apartment,90,Private room,11106,1,1,3,100
3227,"Priv Apt,Garden,BBQ,A/C,BigTV,for 4",Manhattan,Apartment,85,Entire home/apt,10001,3,1,171,150
3226,Great 3 Bed Apt Tribeca / Soho,Manhattan,Apartment,0,Entire home/apt,10013,3,1,0,700
3226,Huge Room Soho LOFT off WBroadway,Manhattan,Apartment,85,Private room,10013,1,1,9,125
3226,Master Room Soho LOFT off WBroadway,Manhattan,Apartment,0,Private room,10013,1,1,0,175
3415,Beautiful Furnished Master Bedroom,Queens,House,0,Private room,11365,1,1,0,90
3563,16' x 11' Furnished BR with Balcony,Brooklyn,Apartment,100,Private room,11220,1,1,1,40
3647,Conveniently Queens with Two Rooms,Queens,Apartment,90,Entire home/apt,11373,1,1,4,89
3647,Quality Cozy Studio Next to Subway,Queens,Apartment,90,Entire home/apt,11373,1,1,16,95
3647,Queens Quality Convenient Apartment,Queens,Apartment,100,Entire home/apt,11373,2,1,9,99
3867,1 Bedroom Apartment in Chinatown!,Manhattan,Apartment,90,Entire home/apt,10002,1,1,19,149
3867,3 bedroom apartment in Chinatown!,Manhattan,Apartment,80,Entire home/apt,10038,4,1,2,499
3867,Private bedroom in spacious loft!,Manhattan,Apartment,0,Private room,10038,4,1,0,99
3867,Share a bedroom in a huge Apartment,Manhattan,Apartment,0,Shared room,10038,1,1,0,99
